id_,gender,degree,position,has_mgr_role,experience,salary
100,m,bachelor,front_end,False,16,88739.42
101,m,bachelor,back_end,False,14,84846.55
102,m,none,front_end,False,8,69711.52
103,m,bachelor,front_end,False,4,56931.23
104,f,master,back_end,False,9,76783.44
105,m,none,designer,False,7,50000.0
106,f,none,designer,False,5,50000.0
107,m,none,designer,False,3,50000.0
108,m,none,back_end,False,13,80252.11
109,f,master,front_end,False,2,50148.35
110,m,none,data_sci,True,14,121015.08
111,m,none,front_end,False,6,63575.16
112,m,bachelor,front_end,False,4,59877.65
113,m,master,back_end,False,4,62224.16
114,f,bachelor,front_end,False,12,77007.68
115,f,doctor,data_sci,False,7,71979.04
116,f,bachelor,front_end,False,9,72036.87
117,m,bachelor,designer,False,11,55187.42
118,m,none,front_end,False,15,75734.56
119,m,none,front_end,False,13,77993.46
120,m,bachelor,front_end,False,8,69259.57
121,m,master,designer,False,5,50000.0
122,f,bachelor,front_end,False,3,53693.63
123,m,master,front_end,False,8,65717.42
124,f,bachelor,data_sci,False,7,69643.83
125,m,none,front_end,True,10,93913.08
126,f,master,back_end,False,12,84549.81
127,m,bachelor,data_sci,False,13,92542.63
128,m,bachelor,front_end,True,8,86067.69
129,f,bachelor,back_end,False,9,75943.77
130,f,master,front_end,False,6,63034.61
131,m,master,data_sci,False,14,101155.57
132,f,bachelor,back_end,False,3,60896.19
133,m,bachelor,back_end,False,13,92651.91
134,f,master,designer,False,14,63289.73
135,m,master,designer,False,14,62442.08
136,m,none,designer,False,7,50000.0
137,m,bachelor,front_end,False,9,70239.37
138,m,master,front_end,False,11,77145.39
139,m,bachelor,data_sci,False,8,77209.08
140,f,master,front_end,False,9,73668.1
141,f,master,data_sci,False,6,63675.21
142,m,master,data_sci,False,10,82868.89
143,f,bachelor,front_end,False,3,54678.05
144,m,bachelor,front_end,False,14,83814.36
145,m,master,front_end,False,4,53523.74
146,f,bachelor,back_end,False,10,79635.02
147,f,master,front_end,False,8,68663.47
148,f,bachelor,front_end,False,11,72854.96
149,f,none,front_end,False,18,89513.19
150,m,none,back_end,False,12,81389.64
151,f,none,front_end,True,3,64693.69
152,m,none,back_end,False,10,76369.67
153,f,none,front_end,False,10,70219.13
154,f,bachelor,back_end,True,11,102480.93
155,f,bachelor,front_end,False,12,75237.97
156,m,none,front_end,False,8,65175.21
157,f,master,designer,False,5,50000.0
158,f,master,data_sci,True,9,100936.24
159,f,none,back_end,False,18,92770.88
160,f,bachelor,front_end,False,6,62803.97
161,f,master,data_sci,False,16,105363.45
162,m,bachelor,front_end,False,11,73426.41
163,f,master,front_end,True,10,96034.07
164,f,master,front_end,False,16,92593.57
165,f,bachelor,front_end,False,10,75188.56
166,m,bachelor,back_end,False,13,88295.05
167,f,bachelor,data_sci,False,9,80904.23
168,m,none,front_end,False,16,84936.01
169,f,bachelor,back_end,False,13,93697.22
170,m,none,designer,True,13,68500.74
171,f,bachelor,back_end,False,8,64721.93
172,m,none,back_end,False,14,84266.46
173,m,none,back_end,True,12,102232.65
174,m,bachelor,front_end,False,7,63004.94
175,f,none,back_end,True,6,74254.24
176,f,doctor,data_sci,True,14,132967.91
177,f,master,front_end,False,18,106350.82
178,f,bachelor,front_end,False,10,71335.8
179,f,bachelor,back_end,False,11,87827.05
180,f,master,back_end,False,15,93859.81
181,f,bachelor,front_end,False,10,70490.44
182,f,none,designer,False,18,52872.09
183,m,master,back_end,False,11,82770.97
184,m,none,front_end,False,15,74926.51
185,f,bachelor,front_end,False,16,90387.7
186,m,master,designer,True,14,78452.52
187,f,none,designer,False,6,50000.0
188,m,bachelor,front_end,False,12,84384.63
189,m,master,data_sci,False,9,84498.94
190,f,bachelor,data_sci,False,4,68867.71
191,m,bachelor,back_end,False,9,71310.71
192,f,none,back_end,False,7,69815.6
193,m,none,front_end,False,15,83116.96
194,f,bachelor,front_end,False,3,55763.18
195,f,doctor,data_sci,False,18,131105.08
196,m,bachelor,back_end,False,9,71232.81
197,f,bachelor,back_end,False,9,72665.22
198,m,master,back_end,True,2,68192.24
199,f,doctor,data_sci,True,6,77239.34
